filename,label,audio_path,cleaned_audio_path,transcript,num_errors,error_density
audio_1261.wav,1.0,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_1261.wav,cleaned_audio\audio_1261.wav, My favorite hobby is cultivation of plants such as gardening offers you a  rewending the experience with a gardening. I can gain immense of plants to plant  and the flowers and herbs to unvege tables.,4.0,0.11428571428571428
audio_942.wav,1.5,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_942.wav,cleaned_audio\audio_942.wav," The playground looks very clear and neat as there are a lot of colorful things like a  basketball court for playing or we can do gym, swing on swings. Group of friends together  play very well and they laugh each other.",3.0,0.07317073170731707
audio_1110.wav,1.5,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_1110.wav,cleaned_audio\audio_1110.wav, My goal is to become an electrical employee and also I am studying the electrical electronics engineering to become an electrical engineer.  How to study about electrical and to achieve my goal is to have about the electronics and we have prepared the topics thoroughly to reach the goals.,2.0,0.04081632653061224
audio_1024.wav,1.5,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_1024.wav,cleaned_audio\audio_1024.wav," Ṭhbhagva plasis in anapadesh, it is in Chetodishtik, it is the temple of Sri Lath Vandeshwara Swami.  It has seven hills to visit the temple, it is a good place to receive the Thirumala.  For India year, crowds of people to visit the Lath Vandeshwara Swami, in Thirumala,  have a lot of places to visit the tourists in Thirumala, Lath Vandeshwara Swami.",11.0,0.1774193548387097
audio_538.wav,2.0,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_538.wav,cleaned_audio\audio_538.wav," my favorite places, my experience is very good. I travel to the Utti and Kodai canals through  others with my family and friends. I enjoy a lot in the Utti and Kodai canals. The local  food in the Utti and Kodai canals are chocolates which are very sweeter than the honey.  Experiencing it will be very good in many times. Yeah, there is a particular time of day or season  when this place is a magical in the month of January February or December also we have a very  huge number of games during the night times in the Utti. It is a very beautiful place one can visit.",13.0,0.11926605504587157
audio_350.wav,2.5,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_350.wav,cleaned_audio\audio_350.wav, best day in life is ending money for everyone its money is most important so ending ourselves is  a thing when we start ending so actually to end money you have to know the some skills even if  need money or to end money we must complete our graduation or studies or need some skills but if  you we end money while we are education like even in school times so it will be more best day for  any student so I end some money using referral apps it makes a day which will be happy to everyone  like me also it's a best day and when I think about the day so it will be best than others because  when we end money on ourselves and to purchase something which we need so that the day is best day,14.0,0.1
audio_64.wav,2.0,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_64.wav,cleaned_audio\audio_64.wav," Yeah, I have a soy crowded market.  There are different types of people out there.  It's very crowded with a large number of people.  On one side, there are some people who are selling vegetables,  some people are selling fruits, and some are selling other essential products that are required for the humans.  And when I hear about the market, it's a fascinating thing that there will be a large number of the people.  And from morning to evening, people work hard there to fed up themselves for their feed and all.  And it's very, that's it.",4.0,0.041237113402061855
audio_252.wav,2.0,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_252.wav,cleaned_audio\audio_252.wav," As, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as  as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as again, as, as again, as, as where all they用ethinethethethethethethethethethethethethethethethethethethethethethethethethethetheth, oh, ye, yOanna t'as then ye, ye, Godethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethethetheth  N-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n  N-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n  N-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n-n",6.0,0.04054054054054054
audio_1304.wav,2.0,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_1304.wav,cleaned_audio\audio_1304.wav," I think there are no particular games these days.  Yes, you can use the swing and the slide where you can do activities such as  such as the plays you can also do like playing on the playground and also  do TV such as Philippine, commentary, activities with your classmates and with your friends  the bigger.",3.0,0.05357142857142857
audio_1230.wav,2.5,C:/shl-intern-hiring-assessment/dataset/audios_train/audio_1230.wav,cleaned_audio\audio_1230.wav," My tone is my entire world. I was right there. I was a lot of lovely ending memories of it.  I used to play there with my friends and cousins during my earlier.  In my community, everyone could tell. My tone has many traits. I can only think of one spot.  I enjoyed very well in my tone. My favorite place is my home tone. In my home tone,  I enjoyed well. I get a lot of happiness from my home tone because of my friends, family,  and relatives. There is more enough...",3.0,0.03225806451612903
